evaluation_id,model_version,eval_prompt_category,human_rating,synthetic_metric,cost_of_evaluation,evaluation_date,deployment_week
EVAL_000063,v1.0,General QA,4,85.62,21.67,2024-04-22,1
EVAL_000064,v1.0,Scientific,5,84.24,23.84,2024-05-19,1
EVAL_000065,v1.0,General QA,4,84.83,30.25,2024-05-07,1
EVAL_000066,v1.0,General QA,3,88.92,18.4,2024-01-25,1
EVAL_000067,v1.0,Scientific,5,84.87,29.84,2024-04-18,1
EVAL_000068,v1.0,Creative Writing,4,74.26,22.62,2024-03-15,1
EVAL_000069,v1.0,Scientific,5,91.49,31.0,2024-01-07,1
EVAL_000070,v1.0,Scientific,4,69.49,18.2,2024-01-29,1
EVAL_000071,v1.0,Coding,4,71.92,29.21,2024-05-24,1
EVAL_000072,v1.0,Math/Logic,5,75.43,25.23,2024-04-17,1
EVAL_000073,v1.0,Creative Writing,3,62.63,17.81,2024-05-05,1
EVAL_000074,v1.0,Scientific,5,85.98,29.16,2024-05-10,1
EVAL_000075,v1.0,Scientific,3,59.68,15.24,2024-06-09,1
EVAL_000076,v1.0,General QA,5,89.14,19.11,2024-05-26,1
EVAL_000077,v1.0,Scientific,3,64.34,18.42,2024-01-01,1
EVAL_000078,v1.0,General QA,5,79.21,31.73,2024-03-14,1
EVAL_000079,v1.0,Creative Writing,3,65.42,23.7,2024-05-15,1
EVAL_000080,v1.0,Coding,3,64.61,17.9,2024-06-03,1
EVAL_000081,v1.0,Math/Logic,5,65.16,22.06,2024-05-20,1
EVAL_000082,v1.0,Scientific,4,93.95,29.99,2024-04-18,1
EVAL_000083,v1.0,Math/Logic,4,63.51,30.81,2024-06-25,1
EVAL_000084,v1.0,Creative Writing,4,79.46,28.63,2024-06-09,1
EVAL_000085,v1.0,Math/Logic,3,63.7,22.02,2024-05-12,1
EVAL_000086,v1.0,Coding,4,81.74,22.76,2024-04-19,1
EVAL_000087,v1.0,Creative Writing,4,91.3,26.08,2024-02-01,1
EVAL_000088,v1.0,Math/Logic,4,70.53,23.8,2024-04-27,1
EVAL_000089,v1.0,Coding,4,83.28,24.41,2024-02-26,1
EVAL_000090,v1.0,General QA,4,72.37,19.19,2024-06-14,1
EVAL_000091,v1.0,Creative Writing,5,95.35,26.32,2024-06-27,1
EVAL_000092,v1.0,Math/Logic,5,74.05,23.95,2024-04-15,1
EVAL_000093,v1.0,General QA,4,88.94,28.63,2024-01-17,1
EVAL_000094,v1.0,Math/Logic,3,64.45,19.21,2024-05-05,1
EVAL_000095,v1.0,Math/Logic,4,70.05,22.9,2024-03-20,1
EVAL_000096,v1.0,Math/Logic,3,70.7,19.19,2024-04-05,1
EVAL_000097,v1.0,Scientific,4,79.5,19.36,2024-01-21,1
EVAL_000098,v1.0,Coding,4,73.28,24.23,2024-05-12,1
EVAL_000099,v1.0,Coding,3,68.59,15.38,2024-02-16,1
EVAL_000100,v1.0,Creative Writing,3,82.39,19.66,2024-03-21,1
EVAL_000101,v1.0,Creative Writing,5,83.16,32.79,2024-02-16,1
EVAL_000102,v1.0,Math/Logic,5,85.15,18.94,2024-02-25,1
EVAL_000103,v1.0,Creative Writing,4,87.27,23.98,2024-01-18,1
EVAL_000104,v1.0,Creative Writing,3,72.82,25.06,2024-01-28,1
EVAL_000105,v1.0,General QA,3,80.05,19.14,2024-01-25,1
EVAL_000106,v1.0,Coding,4,83.83,24.76,2024-02-03,1
EVAL_000107,v1.0,Creative Writing,3,73.91,27.49,2024-03-04,1
EVAL_000108,v1.0,Scientific,2,71.01,26.01,2024-05-29,1
EVAL_000109,v1.0,Coding,3,66.59,16.8,2024-03-02,1
EVAL_000110,v1.0,Creative Writing,2,70.14,26.74,2024-01-06,1
EVAL_000111,v1.0,Coding,4,81.47,26.84,2024-03-02,1
EVAL_000112,v1.0,Creative Writing,3,94.94,26.58,2024-05-12,1
EVAL_000113,v1.0,Coding,4,60.54,19.64,2024-02-16,1
EVAL_000114,v1.0,Scientific,5,72.66,20.32,2024-04-09,1
EVAL_000115,v1.0,Creative Writing,4,76.45,18.02,2024-05-30,1
EVAL_000116,v1.0,Coding,5,87.11,21.82,2024-04-10,1
EVAL_000117,v1.0,Coding,4,95.15,22.18,2024-04-03,1
EVAL_000118,v1.0,Creative Writing,4,93.16,29.99,2024-05-16,1
EVAL_000119,v1.0,Scientific,4,68.82,24.62,2024-03-04,1
EVAL_000120,v1.0,Scientific,3,71.19,16.45,2024-06-13,1
EVAL_000121,v1.0,Coding,4,72.01,20.74,2024-02-11,1
EVAL_000122,v1.0,Coding,5,80.25,31.5,2024-05-04,1
EVAL_000123,v1.0,Math/Logic,3,83.76,27.49,2024-02-22,1
EVAL_000124,v1.0,General QA,3,75.07,24.96,2024-02-11,1
EVAL_000125,v1.0,Scientific,5,95.25,31.41,2024-06-12,1
EVAL_000126,v1.0,Creative Writing,3,65.05,25.16,2024-03-26,1
EVAL_000127,v1.0,General QA,4,87.86,28.32,2024-06-07,1
EVAL_000128,v1.0,General QA,4,87.9,24.1,2024-06-05,1
EVAL_000129,v1.0,Creative Writing,5,89.26,28.41,2024-02-05,1
EVAL_000130,v1.0,Creative Writing,3,68.95,27.63,2024-02-07,1
EVAL_000131,v1.0,General QA,5,83.53,25.59,2024-04-20,1
EVAL_000132,v1.0,Math/Logic,5,82.9,23.62,2024-05-16,1
EVAL_000133,v1.0,General QA,4,82.84,30.77,2024-04-19,1
EVAL_000134,v1.0,Coding,5,70.52,23.99,2024-02-22,1
EVAL_000135,v1.0,Creative Writing,4,76.18,17.71,2024-01-25,1
EVAL_000136,v1.0,Math/Logic,4,82.07,27.06,2024-01-17,1
EVAL_000137,v1.0,Scientific,3,67.25,22.66,2024-06-28,1
EVAL_000138,v1.0,Creative Writing,5,79.42,27.48,2024-06-04,1
EVAL_000139,v1.0,Coding,4,76.52,17.28,2024-04-13,1
EVAL_000140,v1.0,Scientific,3,65.11,20.4,2024-03-02,1
EVAL_000141,v1.0,Math/Logic,5,78.82,26.81,2024-01-01,1
EVAL_000142,v1.0,Math/Logic,2,81.33,18.01,2024-06-14,1
EVAL_000143,v1.0,Creative Writing,4,67.71,30.19,2024-02-01,1
EVAL_000144,v1.0,Creative Writing,3,79.79,14.38,2024-02-01,1
EVAL_000145,v1.0,Coding,5,76.72,21.81,2024-03-12,1
EVAL_000146,v1.0,Math/Logic,5,80.18,21.57,2024-06-10,1
EVAL_000147,v1.0,Scientific,4,73.11,28.45,2024-06-13,1
EVAL_000148,v1.0,Scientific,3,73.98,23.5,2024-06-09,1
EVAL_000149,v1.0,Coding,3,59.93,20.32,2024-01-02,1
EVAL_000150,v1.0,General QA,4,81.7,21.7,2024-04-28,1
EVAL_000151,v1.0,General QA,5,82.7,23.44,2024-02-22,1
EVAL_000152,v1.0,Coding,4,66.02,30.78,2024-05-07,1
EVAL_000153,v1.0,Coding,5,77.52,28.48,2024-01-25,1
EVAL_000154,v1.0,Creative Writing,3,68.95,18.08,2024-03-15,1
EVAL_000155,v1.0,Coding,4,84.46,17.01,2024-06-13,1
EVAL_000156,v1.0,Coding,4,78.88,18.1,2024-01-27,1
EVAL_000157,v1.0,Creative Writing,3,75.53,23.5,2024-02-22,1
EVAL_000158,v1.0,Creative Writing,3,82.0,21.78,2024-03-04,1
EVAL_000159,v1.0,Scientific,3,70.07,23.05,2024-01-26,1
EVAL_000160,v1.0,Math/Logic,3,68.54,24.79,2024-02-08,1
EVAL_000161,v1.0,Coding,5,88.19,20.03,2024-02-25,1
EVAL_000162,v1.0,Math/Logic,3,72.41,26.62,2024-03-21,1
EVAL_000163,v1.0,Coding,5,76.7,19.6,2024-02-09,1
EVAL_000164,v1.0,Math/Logic,4,82.65,22.9,2024-02-04,1
EVAL_000165,v1.0,Creative Writing,4,64.22,30.43,2024-01-17,1
EVAL_000166,v1.0,Scientific,4,82.47,30.37,2024-03-23,1
EVAL_000167,v1.0,General QA,5,90.24,32.71,2024-03-29,1
EVAL_000168,v1.0,Coding,4,71.14,16.51,2024-04-26,1
EVAL_000169,v1.0,Math/Logic,3,65.4,25.93,2024-04-25,1
EVAL_000170,v1.0,Math/Logic,3,75.27,15.81,2024-04-07,1
EVAL_000171,v1.0,Coding,5,78.31,18.98,2024-01-15,1
EVAL_000172,v1.0,General QA,5,82.29,25.8,2024-06-18,1
EVAL_000173,v1.0,General QA,4,71.04,27.98,2024-02-08,1
EVAL_000174,v1.0,Creative Writing,5,63.34,22.08,2024-04-30,1
EVAL_000175,v1.0,Math/Logic,4,57.74,26.98,2024-06-25,1
EVAL_000176,v1.0,Coding,4,74.61,26.73,2024-02-06,1
EVAL_000177,v1.0,Scientific,3,67.89,15.87,2024-02-06,1
EVAL_000178,v1.0,Math/Logic,4,71.7,29.26,2024-03-28,1
EVAL_000179,v1.0,Scientific,4,84.57,28.57,2024-02-23,1
EVAL_000180,v1.0,Scientific,4,85.29,30.36,2024-04-29,1
EVAL_000181,v1.0,Coding,3,61.07,25.37,2024-03-02,1
EVAL_000182,v1.0,Coding,3,71.75,17.36,2024-03-29,1
EVAL_000183,v1.0,General QA,4,92.53,21.87,2024-05-02,1
EVAL_000184,v1.0,Math/Logic,4,76.06,29.97,2024-05-18,1
EVAL_000185,v1.0,General QA,3,72.5,21.99,2024-02-06,1
EVAL_000186,v1.0,Creative Writing,4,67.9,24.57,2024-02-09,1
EVAL_000187,v1.0,General QA,4,81.52,23.82,2024-03-20,1
EVAL_000188,v1.0,Scientific,5,89.54,30.56,2024-03-29,1
EVAL_000189,v1.0,Creative Writing,5,84.97,20.38,2024-02-14,1
EVAL_000190,v1.0,General QA,4,79.56,29.63,2024-03-22,1
EVAL_000191,v1.0,Math/Logic,3,82.85,16.9,2024-01-13,1
EVAL_000192,v1.0,Scientific,4,92.95,25.51,2024-03-28,1
EVAL_000193,v1.0,General QA,5,82.66,26.12,2024-03-03,1
EVAL_000194,v1.0,General QA,4,82.69,17.02,2024-01-17,1
EVAL_000195,v1.0,Scientific,2,71.1,21.31,2024-02-19,1
EVAL_000196,v1.0,Math/Logic,5,84.05,23.75,2024-01-29,1
EVAL_000197,v1.0,Creative Writing,5,83.45,21.79,2024-01-26,1
EVAL_000198,v1.0,Math/Logic,3,71.03,25.92,2024-06-05,1
EVAL_000199,v1.0,Math/Logic,4,67.94,25.82,2024-01-27,1
EVAL_000200,v1.0,Math/Logic,4,83.52,30.15,2024-04-10,1
EVAL_000201,v1.0,General QA,4,96.21,20.68,2024-02-27,1
EVAL_000202,v1.0,General QA,4,86.04,29.02,2024-01-24,1
EVAL_000203,v1.0,Scientific,5,71.48,20.39,2024-05-24,1
EVAL_000204,v1.0,Scientific,5,86.46,29.42,2024-05-10,1
EVAL_000205,v1.0,General QA,4,70.53,23.22,2024-01-17,1
EVAL_000206,v1.0,Creative Writing,3,72.64,16.41,2024-04-26,1
EVAL_000207,v1.0,Creative Writing,4,76.29,16.17,2024-01-18,1
EVAL_000208,v1.0,General QA,3,80.48,24.42,2024-02-02,1
EVAL_000209,v1.0,General QA,4,81.88,17.57,2024-05-24,1
EVAL_000210,v1.0,Coding,5,84.36,27.27,2024-05-27,1
EVAL_000211,v1.0,Scientific,3,79.16,19.26,2024-06-09,1
EVAL_000212,v1.0,Creative Writing,3,65.68,22.51,2024-06-22,1
EVAL_000213,v1.0,Math/Logic,4,82.98,17.57,2024-03-01,1
EVAL_000214,v1.0,Creative Writing,5,93.74,27.19,2024-02-10,1
EVAL_000215,v1.0,Math/Logic,5,90.77,29.75,2024-04-20,1
EVAL_000216,v1.0,Creative Writing,4,86.16,24.96,2024-01-22,1
EVAL_000217,v1.0,Scientific,5,74.91,26.9,2024-01-12,1
EVAL_000218,v1.0,Scientific,3,81.81,21.05,2024-06-21,1
EVAL_000219,v1.0,Math/Logic,4,94.55,24.33,2024-05-25,1
EVAL_000220,v1.0,Coding,3,73.3,24.2,2024-04-02,1
EVAL_000221,v1.0,General QA,5,84.75,27.43,2024-04-17,1
EVAL_000222,v1.0,Creative Writing,5,91.11,26.82,2024-04-26,1
EVAL_000223,v1.0,General QA,3,74.54,22.89,2024-05-04,1
EVAL_000224,v1.0,General QA,5,74.02,21.54,2024-01-26,1
EVAL_000225,v1.0,Scientific,4,84.65,30.57,2024-04-28,1
EVAL_000226,v1.0,Coding,3,86.13,27.06,2024-04-20,1
EVAL_000227,v1.0,Creative Writing,4,78.3,20.68,2024-01-28,1
EVAL_000228,v1.0,Scientific,4,86.02,24.98,2024-06-12,1
EVAL_000229,v1.0,Creative Writing,4,69.55,22.63,2024-03-20,1
EVAL_000230,v1.0,Math/Logic,3,78.16,20.74,2024-01-08,1
EVAL_000231,v1.0,Scientific,4,82.74,21.69,2024-04-16,1
EVAL_000232,v1.0,General QA,5,74.73,28.58,2024-02-25,1
EVAL_000233,v1.0,Creative Writing,5,97.17,18.51,2024-03-18,1
EVAL_000234,v1.0,Scientific,3,70.96,16.7,2024-02-28,1
EVAL_000235,v1.0,Creative Writing,5,71.12,23.96,2024-02-12,1
EVAL_000236,v1.0,Creative Writing,4,74.91,19.81,2024-06-19,1
EVAL_000237,v1.0,Creative Writing,3,73.99,15.99,2024-02-21,1
EVAL_000238,v1.0,Creative Writing,4,67.07,22.66,2024-01-05,1
EVAL_000239,v1.0,Creative Writing,4,82.44,16.26,2024-05-24,1
EVAL_000240,v1.0,General QA,4,87.03,29.96,2024-02-15,1
EVAL_000241,v1.0,Coding,5,76.68,23.91,2024-03-09,1
EVAL_000242,v1.0,Coding,4,66.51,27.74,2024-03-17,1
EVAL_000243,v1.0,Creative Writing,4,70.91,29.89,2024-01-19,1
EVAL_000244,v1.0,Coding,4,90.36,28.27,2024-03-28,1
EVAL_000245,v1.0,General QA,5,80.47,26.45,2024-05-26,1
EVAL_000246,v1.0,Creative Writing,5,89.0,24.67,2024-04-11,1
EVAL_000247,v1.0,Math/Logic,4,74.87,27.39,2024-01-09,1
EVAL_000248,v1.0,Creative Writing,3,79.34,21.15,2024-02-12,1
EVAL_000249,v1.0,Scientific,5,83.28,24.46,2024-03-20,1
EVAL_000250,v1.0,Scientific,5,87.16,18.9,2024-01-21,1
EVAL_000251,v1.0,Math/Logic,4,69.44,19.85,2024-02-21,1
EVAL_000252,v1.0,Creative Writing,5,92.72,19.34,2024-06-06,1
EVAL_000253,v1.0,Scientific,3,75.29,26.89,2024-02-08,1
EVAL_000254,v1.0,General QA,4,66.58,18.78,2024-02-05,1
EVAL_000255,v1.0,Math/Logic,4,83.33,16.65,2024-04-15,1
EVAL_000256,v1.0,Coding,3,75.37,22.9,2024-01-26,1
EVAL_000257,v1.0,Coding,4,76.21,29.59,2024-05-31,1
EVAL_000258,v1.0,Creative Writing,3,75.02,26.34,2024-02-29,1
EVAL_000259,v1.0,Coding,4,87.22,22.36,2024-03-09,1
EVAL_000260,v1.0,Scientific,4,85.5,17.44,2024-06-24,1
EVAL_000261,v1.0,Scientific,5,91.17,21.48,2024-03-18,1
EVAL_000262,v1.0,Creative Writing,4,79.85,18.05,2024-03-25,1
EVAL_000263,v1.0,General QA,5,72.57,28.39,2024-01-24,1
EVAL_000264,v1.0,General QA,3,90.26,27.58,2024-04-18,1
EVAL_000265,v1.0,Coding,3,63.88,19.32,2024-01-13,1
EVAL_000266,v1.0,Creative Writing,4,86.74,25.6,2024-01-08,1
EVAL_000267,v1.0,General QA,4,74.96,18.85,2024-05-09,1
EVAL_000268,v1.0,General QA,5,83.46,24.98,2024-01-08,1
EVAL_000269,v1.0,Creative Writing,3,68.95,25.32,2024-02-24,1
EVAL_000270,v1.0,General QA,4,66.01,21.21,2024-05-19,1
EVAL_000271,v1.0,Scientific,3,75.58,28.61,2024-04-27,1
EVAL_000272,v1.0,Creative Writing,4,87.04,26.07,2024-03-24,1
EVAL_000273,v1.0,General QA,5,89.29,25.6,2024-05-21,1
EVAL_000274,v1.0,Math/Logic,3,66.48,15.31,2024-03-15,1
EVAL_000275,v1.0,Math/Logic,5,69.74,25.74,2024-06-11,1
EVAL_000276,v1.0,Creative Writing,3,84.94,21.52,2024-02-18,1
EVAL_000277,v1.0,Math/Logic,5,83.45,25.99,2024-05-13,1
EVAL_000278,v1.0,Math/Logic,4,83.67,22.04,2024-03-06,1
EVAL_000279,v1.0,Creative Writing,4,82.33,25.61,2024-01-25,1
EVAL_000280,v1.0,General QA,5,66.94,29.47,2024-05-04,1
EVAL_000281,v1.0,Scientific,3,76.17,19.51,2024-05-15,1
EVAL_000282,v1.0,General QA,4,65.89,22.49,2024-05-20,1
EVAL_000283,v1.0,General QA,4,72.36,19.24,2024-05-09,1
EVAL_000284,v1.0,Creative Writing,5,64.89,20.88,2024-03-29,1
EVAL_000285,v1.0,Coding,4,83.41,20.46,2024-03-23,1
EVAL_000286,v1.0,General QA,3,65.32,15.52,2024-03-20,1
EVAL_000287,v1.0,General QA,3,83.32,17.49,2024-05-03,1
EVAL_000288,v1.0,Scientific,4,71.29,26.86,2024-04-25,1
EVAL_000289,v1.0,Scientific,2,86.22,14.65,2024-03-26,1
EVAL_000290,v1.0,Scientific,3,53.41,14.29,2024-03-19,1
EVAL_000291,v1.0,Scientific,4,78.89,19.23,2024-03-22,1
EVAL_000292,v1.0,General QA,4,88.85,24.22,2024-05-28,1
EVAL_000293,v1.0,Scientific,3,74.19,23.78,2024-06-28,1
EVAL_000294,v1.0,Coding,4,77.43,30.33,2024-01-17,1
EVAL_000295,v1.0,General QA,5,87.81,21.8,2024-01-21,1
EVAL_000296,v1.0,Coding,5,82.3,27.55,2024-03-19,1
EVAL_000297,v1.0,Scientific,2,66.95,23.06,2024-03-27,1
EVAL_000298,v1.0,Scientific,4,68.83,17.58,2024-01-17,1
EVAL_000299,v1.0,Math/Logic,3,67.31,28.87,2024-06-28,1
EVAL_000300,v1.0,Creative Writing,4,79.54,17.48,2024-04-03,1
EVAL_000301,v1.0,Math/Logic,4,62.06,25.37,2024-06-26,1
EVAL_000302,v1.0,Creative Writing,4,70.58,25.66,2024-05-01,1
EVAL_000303,v1.0,Scientific,4,68.17,17.71,2024-01-13,1
EVAL_000304,v1.0,Coding,5,89.94,20.35,2024-01-10,1
EVAL_000305,v1.0,Creative Writing,4,82.34,22.48,2024-05-03,1
EVAL_000306,v1.0,Scientific,4,79.06,29.3,2024-04-29,1
EVAL_000307,v1.0,Creative Writing,4,73.37,28.7,2024-06-23,1
EVAL_000308,v1.0,Math/Logic,4,88.22,18.71,2024-03-26,1
EVAL_000309,v1.0,Math/Logic,5,73.11,19.62,2024-06-28,1
EVAL_000310,v1.0,Math/Logic,4,88.95,21.14,2024-01-22,1
EVAL_000311,v1.0,Scientific,5,90.53,19.59,2024-01-23,1
EVAL_000312,v1.0,Creative Writing,4,68.28,22.51,2024-05-15,1
EVAL_000313,v1.0,Math/Logic,4,82.47,29.22,2024-05-11,1
EVAL_000314,v1.0,Math/Logic,3,77.73,22.33,2024-05-07,1
EVAL_000315,v1.0,Creative Writing,4,66.91,24.31,2024-03-26,1
EVAL_000316,v1.0,Math/Logic,3,78.96,16.23,2024-03-10,1
EVAL_000317,v1.0,Math/Logic,4,80.32,26.83,2024-01-24,1
EVAL_000318,v1.0,General QA,3,66.56,19.82,2024-01-17,1
EVAL_000319,v1.0,Creative Writing,4,79.14,19.38,2024-05-11,1
EVAL_000320,v1.0,Math/Logic,4,80.28,20.83,2024-03-03,1
EVAL_000321,v1.0,General QA,4,63.49,26.62,2024-06-07,1
EVAL_000322,v1.0,General QA,3,77.04,18.92,2024-05-25,1
EVAL_000323,v1.0,Scientific,4,69.76,27.0,2024-04-27,1
EVAL_000324,v1.0,General QA,3,79.74,16.67,2024-05-22,1
EVAL_000325,v1.0,Creative Writing,5,81.66,20.77,2024-03-01,1
EVAL_000326,v1.0,Math/Logic,3,76.9,21.77,2024-04-18,1
EVAL_000327,v1.0,Scientific,4,81.21,29.09,2024-04-02,1
EVAL_000328,v1.0,General QA,4,76.55,26.59,2024-03-30,1
EVAL_000329,v1.0,Scientific,3,61.67,27.84,2024-02-05,1
EVAL_000330,v1.0,General QA,3,65.79,17.93,2024-06-11,1
EVAL_000331,v1.0,General QA,4,85.8,22.43,2024-03-10,1
EVAL_000332,v1.0,Coding,4,78.22,21.19,2024-06-26,1
EVAL_000333,v1.0,Scientific,4,83.21,26.99,2024-05-27,1
EVAL_000334,v1.0,Scientific,2,63.88,22.96,2024-02-27,1
EVAL_000335,v1.0,Math/Logic,3,74.01,22.48,2024-05-26,1
EVAL_000336,v1.0,Scientific,4,94.63,17.71,2024-06-26,1
EVAL_000337,v1.0,Scientific,4,68.57,24.42,2024-03-21,1
EVAL_000338,v1.0,Coding,4,60.23,27.88,2024-06-25,1
EVAL_000339,v1.0,Creative Writing,5,78.33,24.43,2024-01-05,1
EVAL_000340,v1.0,Scientific,4,80.96,28.93,2024-06-27,1
EVAL_000341,v1.0,Creative Writing,5,80.58,19.68,2024-02-28,1
EVAL_000342,v1.0,General QA,5,96.12,23.1,2024-01-21,1
EVAL_000343,v1.0,General QA,5,82.33,18.27,2024-03-19,1
EVAL_000344,v1.0,Coding,4,79.61,30.77,2024-01-26,1
EVAL_000345,v1.0,Creative Writing,3,62.31,27.64,2024-04-06,1
EVAL_000346,v1.0,Math/Logic,4,74.0,28.33,2024-06-26,1
EVAL_000347,v1.0,Scientific,3,85.31,25.89,2024-06-12,1
EVAL_000348,v1.0,Creative Writing,4,86.73,29.73,2024-04-13,1
EVAL_000349,v1.0,Scientific,4,71.95,20.75,2024-05-10,1
EVAL_000350,v1.0,General QA,4,85.81,18.76,2024-04-10,1
EVAL_000351,v1.0,Coding,5,82.63,32.52,2024-01-19,1
EVAL_000352,v1.0,Scientific,5,85.12,24.27,2024-04-28,1
EVAL_000353,v1.0,Math/Logic,3,83.66,27.23,2024-02-28,1
EVAL_000354,v1.0,General QA,4,84.73,21.69,2024-01-09,1
EVAL_000355,v1.0,General QA,5,85.99,32.82,2024-06-23,1
EVAL_000356,v1.0,Creative Writing,4,66.22,28.42,2024-01-30,1
EVAL_000357,v1.0,Creative Writing,3,78.62,27.58,2024-02-20,1
EVAL_000358,v1.0,General QA,5,90.69,23.29,2024-03-09,1
EVAL_000359,v1.0,Creative Writing,4,77.4,17.89,2024-01-16,1
EVAL_000360,v1.0,General QA,3,74.05,16.62,2024-05-27,1
EVAL_000361,v1.0,Scientific,5,88.06,21.23,2024-05-22,1
EVAL_000362,v1.0,Coding,4,59.8,30.07,2024-05-24,1
EVAL_000363,v1.0,Math/Logic,4,88.53,29.61,2024-05-30,1
EVAL_000364,v1.0,Math/Logic,2,57.35,24.97,2024-03-12,1
EVAL_000365,v1.0,Creative Writing,4,81.78,16.27,2024-06-16,1
EVAL_000366,v1.0,Creative Writing,5,85.97,32.59,2024-05-10,1
EVAL_000367,v1.0,General QA,5,91.9,27.42,2024-04-30,1
EVAL_000368,v1.0,Coding,3,79.68,15.8,2024-06-12,1
EVAL_000369,v1.0,Math/Logic,4,69.66,20.52,2024-02-22,1
EVAL_000370,v1.0,Creative Writing,4,77.65,16.97,2024-01-08,1
