user_id,is_subscriber,signup_date,user_country,industry_role,user_type,pre_project_engagement_score,is_treatment_group,total_weeks_active
USR_000057,False,2024-11-06,Other,Writer,Enterprise,9.51,True,19
USR_000058,False,2024-08-14,Germany,Software Engineer,Consumer,53.09,True,7
USR_000059,False,2024-10-09,US,Researcher,Consumer,30.77,True,13
USR_000060,True,2024-12-10,US,Writer,Consumer,90.52,True,13
USR_000061,False,2024-08-30,US,Other,Enterprise,31.05,True,13
USR_000062,False,2024-11-02,US,Data Scientist,Enterprise,18.95,True,7
USR_000063,False,2024-09-05,US,Writer,Consumer,41.12,True,7
USR_000064,False,2024-07-26,Canada,Other,Consumer,41.55,True,14
USR_000065,False,2024-08-05,US,Software Engineer,Consumer,27.34,False,25
USR_000066,False,2024-09-08,Germany,Data Scientist,Consumer,48.58,True,23
USR_000067,False,2024-09-28,India,Business Analyst,Enterprise,51.78,True,20
USR_000068,False,2024-07-05,Canada,Writer,Consumer,46.89,True,22
USR_000069,False,2024-08-28,US,Student,Consumer,37.16,True,15
USR_000070,False,2024-06-16,India,Student,Enterprise,41.14,True,7
USR_000071,False,2024-09-26,US,Data Scientist,Consumer,40.95,True,9
USR_000072,False,2024-09-10,US,Student,Consumer,75.05,True,4
USR_000073,False,2024-10-17,US,Business Analyst,Enterprise,55.25,True,16
USR_000074,False,2024-10-03,UK,Student,Enterprise,21.92,True,16
USR_000075,True,2024-12-09,Other,Student,Consumer,58.74,True,21
USR_000076,False,2024-12-02,India,Researcher,Enterprise,48.33,True,20
USR_000077,False,2024-07-16,US,Writer,Consumer,48.22,False,17
USR_000078,False,2024-11-02,France,Software Engineer,Consumer,33.24,True,9
USR_000079,False,2024-12-07,France,Other,Consumer,53.31,True,21
USR_000080,False,2024-11-15,US,Student,Consumer,15.29,True,16
USR_000081,False,2024-11-10,Other,Data Scientist,Enterprise,20.15,True,22
USR_000082,False,2024-11-25,US,Researcher,Consumer,46.44,True,17
USR_000083,False,2024-07-11,Canada,Software Engineer,Consumer,23.52,True,16
USR_000084,False,2024-07-25,France,Student,Consumer,23.42,True,12
USR_000085,False,2024-09-14,Other,Researcher,Consumer,53.14,True,18
USR_000086,False,2024-12-01,US,Data Scientist,Enterprise,51.02,True,15
USR_000087,False,2024-09-04,France,Business Analyst,Consumer,28.2,True,23
USR_000088,False,2024-10-15,Other,Software Engineer,Enterprise,26.44,True,6
USR_000089,False,2024-07-23,Canada,Student,Enterprise,63.94,True,5
USR_000090,False,2024-06-30,Other,Data Scientist,Enterprise,46.67,False,26
USR_000091,False,2024-10-20,US,Student,Consumer,11.84,True,6
USR_000092,False,2024-10-27,UK,Writer,Enterprise,42.96,True,7
USR_000093,False,2024-12-10,US,Writer,Consumer,50.31,True,11
USR_000094,False,2024-10-30,Other,Researcher,Enterprise,14.72,True,11
USR_000095,False,2024-07-26,Other,Data Scientist,Consumer,75.15,True,24
USR_000096,False,2024-10-22,France,Student,Enterprise,29.24,True,7
USR_000097,False,2024-08-29,Canada,Student,Enterprise,64.42,True,17
USR_000098,False,2024-09-28,India,Software Engineer,Consumer,35.54,True,5
USR_000099,False,2024-10-25,India,Student,Consumer,24.42,True,19
USR_000100,False,2024-09-07,US,Business Analyst,Enterprise,62.48,True,23
USR_000101,False,2024-07-06,India,Data Scientist,Enterprise,26.04,True,8
USR_000102,False,2024-09-05,Other,Researcher,Consumer,40.97,True,24
USR_000103,False,2024-07-20,US,Student,Consumer,20.25,False,8
USR_000104,False,2024-11-11,Other,Data Scientist,Consumer,27.94,True,8
USR_000105,False,2024-11-20,US,Other,Consumer,51.09,True,25
USR_000106,True,2024-07-24,India,Data Scientist,Consumer,83.89,False,10
USR_000107,False,2024-09-28,Other,Writer,Consumer,28.3,True,16
USR_000108,False,2024-10-25,UK,Software Engineer,Consumer,11.72,True,9
USR_000109,False,2024-08-04,US,Researcher,Consumer,22.18,False,21
USR_000110,True,2024-09-09,Germany,Business Analyst,Enterprise,20.23,True,19
USR_000111,False,2024-10-26,France,Business Analyst,Consumer,74.02,True,15
USR_000112,False,2024-11-12,UK,Other,Enterprise,37.39,True,25
USR_000113,False,2024-11-22,US,Data Scientist,Consumer,39.86,True,21
USR_000114,False,2024-10-06,US,Business Analyst,Consumer,8.67,True,5
USR_000115,False,2024-08-28,US,Other,Enterprise,11.12,True,25
USR_000116,False,2024-10-23,UK,Data Scientist,Consumer,14.89,True,26
USR_000117,True,2024-09-19,US,Software Engineer,Enterprise,32.36,True,19
USR_000118,False,2024-06-27,US,Other,Consumer,56.72,False,17
USR_000119,False,2024-11-12,France,Software Engineer,Consumer,41.61,True,24
USR_000120,False,2024-07-07,India,Other,Consumer,7.91,True,23
USR_000121,False,2024-10-27,Other,Student,Enterprise,55.76,True,22
USR_000122,False,2024-06-18,France,Data Scientist,Consumer,55.11,True,10
USR_000123,False,2024-07-19,India,Software Engineer,Consumer,49.27,True,7
USR_000124,False,2024-09-30,France,Data Scientist,Consumer,44.07,True,22
USR_000125,False,2024-08-09,Other,Researcher,Consumer,14.69,False,5
USR_000126,False,2024-10-03,France,Researcher,Enterprise,70.77,True,4
USR_000127,True,2024-07-14,US,Software Engineer,Consumer,48.4,False,6
USR_000128,True,2024-07-25,India,Writer,Consumer,69.67,False,9
USR_000129,False,2024-08-22,Other,Researcher,Enterprise,75.57,True,16
USR_000130,False,2024-09-12,Canada,Writer,Consumer,55.0,True,16
USR_000131,False,2024-07-27,India,Student,Consumer,61.38,False,9
USR_000132,False,2024-08-22,US,Researcher,Consumer,28.49,True,13
USR_000133,False,2024-09-12,UK,Student,Enterprise,25.45,True,10
USR_000134,False,2024-08-01,Other,Student,Enterprise,24.85,True,16
USR_000135,False,2024-08-10,US,Data Scientist,Consumer,31.79,False,13
USR_000136,True,2024-10-20,UK,Writer,Consumer,65.56,True,18
USR_000137,False,2024-08-09,US,Data Scientist,Consumer,21.32,True,19
USR_000138,False,2024-10-20,India,Software Engineer,Enterprise,63.26,True,16
USR_000139,False,2024-10-10,UK,Researcher,Consumer,16.78,True,18
USR_000140,False,2024-07-30,Other,Student,Consumer,62.18,False,20
USR_000141,False,2024-11-19,US,Data Scientist,Enterprise,10.6,True,14
USR_000142,False,2024-08-11,US,Student,Consumer,51.17,True,12
USR_000143,False,2024-07-03,Other,Software Engineer,Consumer,40.36,False,17
USR_000144,False,2024-09-07,France,Data Scientist,Enterprise,36.71,True,14
USR_000145,False,2024-08-08,UK,Researcher,Consumer,34.09,False,5
USR_000146,False,2024-08-19,US,Student,Consumer,29.87,True,12
USR_000147,False,2024-07-17,India,Student,Enterprise,47.33,True,25
USR_000148,False,2024-06-28,US,Software Engineer,Consumer,60.71,False,5
USR_000149,False,2024-06-27,India,Data Scientist,Consumer,47.35,True,20
USR_000150,False,2024-10-27,Other,Software Engineer,Consumer,61.36,True,9
USR_000151,True,2024-08-10,Canada,Data Scientist,Enterprise,49.38,False,22
USR_000152,False,2024-10-04,India,Software Engineer,Consumer,50.69,True,21
USR_000153,False,2024-09-08,US,Software Engineer,Consumer,50.62,True,8
USR_000154,False,2024-12-05,US,Researcher,Enterprise,37.86,True,7
USR_000155,False,2024-10-17,France,Researcher,Consumer,35.39,True,13
USR_000156,False,2024-07-31,US,Software Engineer,Consumer,80.35,True,13
USR_000157,False,2024-10-21,US,Researcher,Enterprise,41.92,True,21
USR_000158,False,2024-10-23,US,Data Scientist,Consumer,53.71,True,4
USR_000159,False,2024-09-03,Canada,Student,Consumer,27.13,True,25
USR_000160,False,2024-10-01,India,Student,Enterprise,66.36,True,4
USR_000161,True,2024-11-16,US,Researcher,Consumer,31.17,True,18
USR_000162,False,2024-11-30,US,Researcher,Consumer,54.85,True,22
USR_000163,False,2024-10-30,US,Researcher,Consumer,18.23,True,12
USR_000164,False,2024-07-31,US,Data Scientist,Consumer,65.16,True,23
USR_000165,False,2024-09-26,US,Other,Enterprise,51.54,True,18
USR_000166,False,2024-11-17,US,Data Scientist,Consumer,31.02,True,10
USR_000167,False,2024-10-24,US,Other,Consumer,73.9,True,11
USR_000168,False,2024-09-21,France,Other,Consumer,77.26,True,9
USR_000169,False,2024-08-09,US,Business Analyst,Consumer,68.13,True,20
USR_000170,False,2024-09-19,Canada,Other,Consumer,33.96,True,20
USR_000171,False,2024-10-07,India,Researcher,Consumer,43.32,True,4
USR_000172,False,2024-10-27,US,Business Analyst,Consumer,37.5,True,22
USR_000173,False,2024-08-09,Other,Business Analyst,Consumer,37.09,True,18
USR_000174,True,2024-10-06,France,Writer,Enterprise,46.24,True,21
USR_000175,False,2024-07-26,US,Data Scientist,Enterprise,55.13,True,6
USR_000176,False,2024-07-03,France,Student,Consumer,14.11,False,13
USR_000177,True,2024-09-10,US,Software Engineer,Consumer,60.2,True,10
USR_000178,False,2024-11-13,Germany,Writer,Enterprise,42.42,True,24
USR_000179,False,2024-08-13,US,Data Scientist,Consumer,25.97,True,17
USR_000180,False,2024-06-15,US,Software Engineer,Consumer,10.64,True,14
USR_000181,False,2024-11-04,Canada,Student,Enterprise,38.87,True,9
USR_000182,False,2024-11-01,Other,Software Engineer,Enterprise,53.82,True,17
USR_000183,False,2024-08-24,UK,Student,Enterprise,61.23,True,11
USR_000184,True,2024-11-06,Other,Data Scientist,Consumer,76.65,True,16
USR_000185,False,2024-12-06,Germany,Software Engineer,Consumer,30.74,True,20
USR_000186,False,2024-06-15,US,Other,Consumer,41.86,True,22
USR_000187,False,2024-07-03,US,Student,Consumer,53.47,True,21
USR_000188,False,2024-11-11,Canada,Software Engineer,Consumer,59.41,True,20
USR_000189,False,2024-11-10,UK,Software Engineer,Consumer,56.49,True,4
USR_000190,False,2024-11-04,UK,Software Engineer,Consumer,67.0,True,7
USR_000191,False,2024-06-30,Germany,Researcher,Enterprise,10.11,False,23
USR_000192,False,2024-07-05,India,Software Engineer,Consumer,48.59,True,8
USR_000193,False,2024-10-25,India,Researcher,Consumer,22.05,True,26
USR_000194,False,2024-07-25,Germany,Software Engineer,Consumer,29.2,False,4
USR_000195,False,2024-07-25,India,Business Analyst,Enterprise,2.5,False,25
USR_000196,False,2024-10-16,India,Business Analyst,Consumer,61.18,True,13
USR_000197,False,2024-07-15,France,Software Engineer,Consumer,37.69,False,23
USR_000198,False,2024-10-04,Germany,Researcher,Enterprise,25.83,True,7
USR_000199,False,2024-08-15,US,Software Engineer,Enterprise,47.69,True,5
USR_000200,False,2024-10-28,US,Software Engineer,Enterprise,68.25,True,21
USR_000201,False,2024-08-17,US,Business Analyst,Consumer,7.92,True,22
USR_000202,False,2024-11-15,Germany,Software Engineer,Enterprise,34.23,True,14
USR_000203,False,2024-09-15,Canada,Writer,Consumer,63.27,True,9
USR_000204,False,2024-10-31,Other,Student,Enterprise,49.85,True,10
USR_000205,False,2024-10-15,UK,Data Scientist,Enterprise,61.56,True,4
USR_000206,False,2024-07-15,Germany,Student,Enterprise,14.56,True,12
USR_000207,True,2024-09-28,US,Researcher,Enterprise,35.0,True,23
USR_000208,False,2024-06-25,UK,Software Engineer,Consumer,38.03,False,11
USR_000209,False,2024-10-30,UK,Software Engineer,Consumer,44.64,True,16
USR_000210,False,2024-11-19,US,Student,Consumer,44.62,True,4
USR_000211,False,2024-09-10,India,Software Engineer,Enterprise,42.71,True,25
USR_000212,False,2024-10-02,US,Software Engineer,Consumer,72.12,True,10
USR_000213,False,2024-11-23,Other,Software Engineer,Consumer,5.54,True,9
USR_000214,False,2024-10-10,Germany,Data Scientist,Consumer,10.42,True,18
USR_000215,False,2024-08-29,Canada,Data Scientist,Consumer,22.91,True,12
USR_000216,False,2024-11-28,Canada,Software Engineer,Enterprise,34.4,True,26
USR_000217,False,2024-11-08,US,Researcher,Consumer,40.98,True,9
USR_000218,False,2024-08-20,Germany,Student,Enterprise,37.35,True,18
USR_000219,True,2024-11-27,France,Data Scientist,Consumer,82.53,True,23
USR_000220,True,2024-09-27,US,Student,Consumer,19.07,True,14
USR_000221,True,2024-11-17,US,Data Scientist,Consumer,45.03,True,5
USR_000222,False,2024-08-20,US,Student,Consumer,63.18,True,14
USR_000223,False,2024-10-08,India,Data Scientist,Consumer,5.55,True,19
USR_000224,False,2024-10-25,Germany,Business Analyst,Consumer,33.06,True,18
USR_000225,False,2024-11-22,Canada,Other,Consumer,44.42,True,4
USR_000226,False,2024-06-29,France,Business Analyst,Consumer,10.91,True,15
USR_000227,False,2024-10-25,India,Data Scientist,Enterprise,27.89,True,26
USR_000228,False,2024-10-25,US,Data Scientist,Consumer,18.56,True,26
USR_000229,False,2024-11-08,UK,Software Engineer,Enterprise,75.46,True,21
USR_000230,False,2024-12-05,Germany,Researcher,Consumer,50.64,True,12
USR_000231,False,2024-06-17,France,Data Scientist,Consumer,24.33,True,19
USR_000232,False,2024-09-13,US,Other,Enterprise,45.59,True,16
USR_000233,False,2024-11-25,UK,Writer,Enterprise,49.19,True,12
USR_000234,False,2024-11-15,India,Business Analyst,Enterprise,12.12,True,14
USR_000235,False,2024-08-02,Germany,Software Engineer,Enterprise,45.75,False,6
USR_000236,False,2024-06-27,US,Data Scientist,Consumer,77.86,False,11
USR_000237,True,2024-09-28,India,Other,Enterprise,14.52,True,16
USR_000238,False,2024-06-18,Canada,Business Analyst,Enterprise,50.08,False,12
USR_000239,False,2024-11-30,US,Business Analyst,Consumer,44.43,True,16
USR_000240,False,2024-11-25,US,Writer,Enterprise,56.48,True,14
USR_000241,False,2024-11-25,India,Data Scientist,Consumer,66.88,True,7
USR_000242,False,2024-07-20,Other,Software Engineer,Consumer,2.13,False,5
USR_000243,False,2024-11-07,France,Data Scientist,Consumer,26.53,True,17
USR_000244,False,2024-10-10,UK,Data Scientist,Consumer,34.48,True,12
USR_000245,False,2024-08-02,US,Researcher,Enterprise,21.72,False,18
USR_000246,False,2024-08-12,France,Software Engineer,Consumer,24.47,True,10
USR_000247,True,2024-11-11,US,Writer,Consumer,62.01,True,10
USR_000248,False,2024-09-29,Other,Student,Consumer,44.26,True,21
USR_000249,True,2024-10-06,Other,Researcher,Consumer,53.45,True,23
USR_000250,False,2024-10-06,UK,Student,Consumer,24.62,True,26
USR_000251,False,2024-11-11,UK,Software Engineer,Consumer,35.94,True,20
USR_000252,False,2024-09-12,US,Software Engineer,Consumer,55.92,True,19
USR_000253,False,2024-11-09,India,Researcher,Consumer,64.5,True,13
USR_000254,False,2024-09-15,Other,Data Scientist,Consumer,82.97,True,23
USR_000255,False,2024-09-19,Other,Software Engineer,Consumer,39.07,True,16
USR_000256,False,2024-08-26,UK,Software Engineer,Consumer,56.1,True,20
USR_000257,False,2024-07-25,Germany,Software Engineer,Enterprise,25.93,False,18
USR_000258,False,2024-12-09,India,Software Engineer,Enterprise,30.83,True,21
USR_000259,False,2024-08-14,US,Other,Consumer,10.42,True,19
USR_000260,False,2024-10-05,US,Business Analyst,Consumer,46.44,True,22
USR_000261,False,2024-09-17,France,Other,Consumer,17.79,True,4
USR_000262,False,2024-07-15,US,Business Analyst,Consumer,14.07,True,24
USR_000263,False,2024-06-22,Other,Software Engineer,Consumer,47.61,False,15
USR_000264,False,2024-10-02,India,Business Analyst,Enterprise,18.28,True,22
USR_000265,False,2024-11-16,India,Business Analyst,Consumer,64.54,True,4
USR_000266,False,2024-12-07,India,Data Scientist,Consumer,48.7,True,21
USR_000267,False,2024-08-18,Other,Student,Consumer,41.94,True,9
USR_000268,False,2024-07-18,UK,Software Engineer,Consumer,21.98,True,19
USR_000269,False,2024-11-20,US,Data Scientist,Consumer,42.92,True,6
USR_000270,False,2024-06-24,France,Researcher,Enterprise,63.44,False,17
USR_000271,False,2024-11-25,France,Student,Enterprise,55.68,True,23
USR_000272,False,2024-09-30,UK,Software Engineer,Consumer,27.55,True,5
USR_000273,False,2024-11-16,France,Software Engineer,Consumer,1.14,True,4
USR_000274,False,2024-06-15,US,Writer,Enterprise,22.91,False,20
USR_000275,False,2024-07-04,Other,Software Engineer,Enterprise,24.04,False,19
USR_000276,False,2024-11-01,Canada,Business Analyst,Consumer,25.78,True,17
USR_000277,False,2024-08-16,US,Business Analyst,Consumer,2.68,True,9
USR_000278,False,2024-08-29,Other,Software Engineer,Consumer,25.92,True,22
USR_000279,False,2024-10-21,US,Data Scientist,Enterprise,52.49,True,20
USR_000280,False,2024-09-17,Other,Student,Consumer,13.17,True,23
USR_000281,False,2024-07-02,UK,Business Analyst,Consumer,30.1,False,4
USR_000282,False,2024-09-25,US,Software Engineer,Consumer,38.33,True,13
USR_000283,False,2024-11-09,Germany,Other,Enterprise,49.5,True,16
USR_000284,False,2024-08-16,US,Student,Enterprise,53.99,True,14
USR_000285,False,2024-07-24,UK,Other,Enterprise,44.56,True,25
USR_000286,True,2024-11-08,India,Student,Enterprise,77.74,True,21
USR_000287,False,2024-09-07,UK,Researcher,Consumer,29.93,True,17
USR_000288,False,2024-06-26,US,Student,Consumer,23.65,True,19
USR_000289,False,2024-11-27,US,Researcher,Consumer,36.89,True,9
USR_000290,False,2024-10-02,Other,Other,Enterprise,45.38,True,19
USR_000291,False,2024-09-10,US,Other,Consumer,4.84,True,19
USR_000292,False,2024-09-17,UK,Researcher,Consumer,40.62,True,13
USR_000293,True,2024-09-08,Canada,Other,Enterprise,25.15,True,16
USR_000294,False,2024-10-05,US,Writer,Consumer,38.3,True,4
USR_000295,True,2024-09-20,UK,Data Scientist,Enterprise,30.45,True,24
USR_000296,False,2024-11-04,UK,Software Engineer,Enterprise,29.65,True,7
USR_000297,False,2024-11-30,India,Software Engineer,Enterprise,8.69,True,4
USR_000298,False,2024-10-19,Canada,Student,Consumer,32.49,True,26
USR_000299,False,2024-08-03,US,Writer,Consumer,22.81,False,11
USR_000300,False,2024-09-24,Canada,Software Engineer,Consumer,83.36,True,17
USR_000301,False,2024-08-16,US,Researcher,Enterprise,27.43,True,16
USR_000302,False,2024-10-24,US,Researcher,Consumer,15.42,True,26
USR_000303,False,2024-10-30,Other,Data Scientist,Consumer,66.03,True,24
USR_000304,False,2024-06-22,Canada,Software Engineer,Enterprise,60.83,True,25
USR_000305,False,2024-11-16,Germany,Software Engineer,Consumer,33.23,True,26
USR_000306,False,2024-11-08,US,Software Engineer,Enterprise,1.67,True,18
USR_000307,False,2024-11-14,Germany,Business Analyst,Consumer,47.86,True,19
USR_000308,False,2024-08-30,UK,Writer,Consumer,39.92,True,6
USR_000309,False,2024-06-16,Other,Software Engineer,Consumer,15.51,True,13
USR_000310,False,2024-09-14,India,Business Analyst,Consumer,53.87,True,11
USR_000311,False,2024-08-30,US,Other,Consumer,55.56,True,18
USR_000312,True,2024-07-09,Other,Business Analyst,Consumer,82.81,True,10
USR_000313,False,2024-11-28,UK,Software Engineer,Enterprise,13.14,True,18
USR_000314,False,2024-11-11,US,Business Analyst,Enterprise,26.15,True,22
USR_000315,False,2024-08-02,India,Writer,Consumer,40.39,True,15
USR_000316,False,2024-11-27,Other,Student,Enterprise,19.18,True,23
USR_000317,False,2024-08-01,France,Other,Consumer,27.32,True,24
USR_000318,True,2024-08-26,US,Software Engineer,Consumer,40.54,True,23
USR_000319,False,2024-07-29,India,Other,Consumer,51.85,True,11
USR_000320,False,2024-10-31,US,Student,Consumer,32.01,True,16
USR_000321,False,2024-11-21,UK,Student,Consumer,39.15,True,13
USR_000322,False,2024-08-19,Other,Writer,Consumer,30.75,True,11
USR_000323,False,2024-09-29,US,Business Analyst,Enterprise,37.53,True,20
USR_000324,False,2024-11-02,Germany,Business Analyst,Consumer,43.19,True,13
USR_000325,False,2024-09-13,US,Other,Consumer,32.08,True,5
USR_000326,False,2024-11-25,US,Student,Consumer,27.09,True,6
USR_000327,False,2024-08-09,Other,Data Scientist,Enterprise,21.24,False,20
USR_000328,False,2024-10-03,Other,Data Scientist,Consumer,68.25,True,4
USR_000329,False,2024-08-15,US,Data Scientist,Enterprise,32.43,True,8
USR_000330,False,2024-07-15,France,Business Analyst,Enterprise,72.4,True,25
USR_000331,False,2024-11-17,US,Business Analyst,Consumer,50.95,True,8
USR_000332,False,2024-07-26,UK,Software Engineer,Consumer,16.1,False,17
USR_000333,False,2024-12-08,Germany,Writer,Enterprise,47.65,True,11
USR_000334,False,2024-09-15,UK,Writer,Consumer,21.36,True,5
USR_000335,False,2024-09-17,France,Software Engineer,Consumer,46.86,True,10
USR_000336,True,2024-09-25,UK,Software Engineer,Consumer,58.32,True,14
USR_000337,False,2024-08-07,US,Software Engineer,Enterprise,53.28,False,20
USR_000338,False,2024-06-16,Other,Software Engineer,Consumer,67.13,True,8
USR_000339,False,2024-07-15,India,Researcher,Enterprise,24.93,True,8
USR_000340,False,2024-11-01,Germany,Software Engineer,Consumer,20.36,True,24
USR_000341,False,2024-09-06,UK,Data Scientist,Consumer,65.09,True,10
USR_000342,False,2024-09-26,France,Student,Enterprise,18.9,True,26
USR_000343,False,2024-12-07,US,Data Scientist,Consumer,32.46,True,14
USR_000344,False,2024-07-14,UK,Software Engineer,Consumer,40.95,True,22
USR_000345,False,2024-07-06,US,Researcher,Consumer,14.64,True,19
USR_000346,False,2024-07-04,US,Business Analyst,Enterprise,31.22,True,20
USR_000347,False,2024-06-16,UK,Researcher,Consumer,28.27,True,14
USR_000348,True,2024-12-11,US,Data Scientist,Enterprise,29.21,True,4
USR_000349,False,2024-07-03,Germany,Data Scientist,Consumer,51.29,False,26
USR_000350,False,2024-11-06,Canada,Researcher,Consumer,83.49,True,8
USR_000351,False,2024-10-27,India,Data Scientist,Consumer,29.23,True,25
USR_000352,False,2024-07-22,UK,Data Scientist,Consumer,10.17,True,14
USR_000353,False,2024-08-18,US,Software Engineer,Consumer,12.12,True,21
USR_000354,False,2024-10-10,India,Writer,Consumer,26.12,True,26
USR_000355,False,2024-08-17,US,Other,Consumer,54.51,True,8
USR_000356,False,2024-09-14,US,Data Scientist,Enterprise,6.13,True,12
USR_000357,False,2024-12-04,UK,Writer,Enterprise,36.69,True,19
USR_000358,False,2024-11-27,US,Business Analyst,Consumer,39.18,True,26
USR_000359,False,2024-08-02,UK,Software Engineer,Consumer,50.38,False,11
USR_000360,False,2024-09-22,UK,Student,Enterprise,78.49,True,10
USR_000361,True,2024-09-17,Canada,Data Scientist,Consumer,51.03,True,21
USR_000362,False,2024-07-23,Other,Software Engineer,Consumer,58.59,True,17
USR_000363,False,2024-12-02,US,Software Engineer,Consumer,37.8,True,18
USR_000364,False,2024-10-17,India,Data Scientist,Consumer,35.7,True,16
USR_000365,False,2024-10-21,US,Business Analyst,Enterprise,17.68,True,7
USR_000366,False,2024-08-15,Canada,Writer,Consumer,28.04,True,19
USR_000367,False,2024-07-21,Other,Software Engineer,Consumer,18.4,False,6
USR_000368,False,2024-07-22,UK,Writer,Consumer,38.75,True,11
USR_000369,False,2024-08-29,US,Student,Consumer,48.84,True,7
USR_000370,False,2024-09-07,UK,Data Scientist,Enterprise,35.13,True,7
USR_000371,False,2024-08-25,US,Software Engineer,Enterprise,31.71,True,9
USR_000372,False,2024-07-27,UK,Student,Enterprise,31.33,False,8
USR_000373,False,2024-12-10,Other,Data Scientist,Consumer,32.02,True,18
USR_000374,False,2024-07-31,India,Data Scientist,Consumer,49.1,True,5
USR_000375,False,2024-08-28,UK,Software Engineer,Enterprise,38.1,True,4
USR_000376,False,2024-12-11,UK,Writer,Consumer,57.35,True,18
USR_000377,False,2024-10-16,India,Data Scientist,Consumer,16.47,True,7
USR_000378,True,2024-11-16,Germany,Writer,Consumer,67.07,True,7
USR_000379,False,2024-10-10,US,Researcher,Enterprise,67.93,True,22
USR_000380,False,2024-09-08,India,Software Engineer,Consumer,38.25,True,21
USR_000381,True,2024-12-07,Germany,Researcher,Consumer,63.21,True,9
